Date,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
11/01/12,47420060.88,35766.33867,1128112.039,6789469.47,1395562.045,654591.4814,32897362.98,862195.7525,5543383.727,29083094.62,866336.7952,4147760.334,5493967.285,568795.2127,26235038.86,4644440.056,1988590.026,1028297.574,305421465.1,4651096.398,7872950.272,559776.9421,2690021.301,8046782.04,296283.9325,436343.197,12963641.35,4244538.034,3008850.91,94243412.85,11031982.99,595880.699,68847809.35,44249218.52,1733655.171,63536661.42,96986531.52,25437934.16,21445294.22,8341378.881,22607086.74,13138976.17,56285235.64,8200246.012,5462372.664,99170.30269,1375470.319,12775730.04,14994776.76,16017430.24,2912533.325,1935676.703,421466.1178,13838843.05,1686815.377,25611888.63,6287851.171,2239935.977
12/01/12,48684770.8,36720.23967,1158199.189,6970547.04,1432782.182,672049.6695,33774747.38,885190.8205,5691227.747,29858751.11,889442.3062,4258382.58,5640493.351,583965.1837,26934736.69,4768308.927,2041626.43,1055722.637,313567164.5,4775142.797,8082924.661,574706.3926,2761765.127,8261392.584,304185.9305,447980.6255,13309386.29,4357741.376,3089098.036,96756918.25,11326209.91,611773.0496,70684004.96,45429360.94,1779892.372,65231206.83,99573196.88,26116372.93,22017247.86,8563846.428,23210025.8,13489397.34,57786382.93,8418949.496,5608056.089,101815.21,1412154.603,13116463.31,15394692.8,16444620.82,2990211.627,1987301.89,432706.7694,14207929.92,1731803.345,26294966.82,6455550.403,2299675.868
01/01/13,48033107.47,35612.05658,1109572.557,6803432.534,1389726.854,657170.9409,33227792.67,844990.8854,5525345.194,29278709.31,860777.6733,4122860.412,5510047.919,567743.0703,26452201.18,4597443.077,1981272.484,993282.6708,306732425.7,4631892.541,7897463.059,556667.8431,2698745.284,8088128.296,295115.0324,426304.4642,13032299.41,4252795.468,2993676.749,94935440.35,11131429.41,578695.9194,69408632.54,44483527.74,1743216.288,63772596.26,97899501.58,25826970.95,21557379.08,8379296.632,22870956.09,13249826.66,57027476.94,8244099.314,5472324.838,98361.47929,1371400.718,12834199.7,15086845.84,16089245.69,2902229.638,1930577.314,420093.7705,13936582.54,1680803.406,25718911,6357578.152,2244477.401
02/01/13,45098644.75,33436.42694,1041785.993,6387793.818,1304824.963,617022.7239,31197823.68,793368.278,5187788.031,27489999.7,808190.6116,3870984.554,5173425.305,533058.2257,24836170.03,4316573.777,1860231.591,932600.5472,287993374.3,4348918.636,7414987.281,522659.6118,2533872.182,7594004.302,277085.7167,400260.4579,12236123.63,3992981.552,2810785.546,89135596.77,10451382.53,543341.9377,65168285.51,41765917.73,1636718.844,59876568.79,91918576.08,24249136.68,20240384.85,7867384.435,21473712.16,12440361.6,53543525.69,7740446.66,5138006.822,92352.33042,1287618.417,12050126.33,14165152.68,15106313.42,2724925.168,1812633.516,394429.191,13085161.84,1578118.92,24147678.38,5969177.796,2107356.661
03/01/13,50913247.63,37747.41112,1176104.26,7211376.977,1473057.047,696575.9372,35220183.03,895657.859,5856653.524,31034306.46,912391.2474,4370073.564,5840439,601785.8318,28038316.49,4873112.946,2100072.678,1052841.451,325124581.1,4909628.054,8371007.281,590046.5167,2860566.267,8573105.105,312810.5908,451866.3459,13813736.44,4507799.728,3173182.284,100627917.7,11798887.3,613395.4308,73570482.58,47150829.56,1847742.26,67596500.76,103769708.6,27375596.48,22849993.2,8881732.348,24242334.35,14044306.97,60446933.55,8738428.388,5800453.985,104259.3873,1453632.048,13603758.36,15991476.69,17053982,3076251.861,2046337.746,445283.2493,14772241.8,1781587.004,27261057.08,6738788.47,2379059.772
04/01/13,49642451.76,36805.23485,1146748.67,7031380.837,1436289.508,679189.3853,34341086.43,873302.2176,5710471.313,30259689.43,889617.9402,4260996.424,5694661.504,586765.2432,27338479.45,4751479.932,2047654.814,1026562.504,317009463.8,4787083.621,8162066.741,575318.9416,2789166.466,8359120.198,305002.831,440587.7512,13468945.26,4395284.94,3093979.579,98116242.46,11504386.8,598085.0663,71734161.59,45973943.73,1801622.57,65909290.5,101179614.3,26692300.94,22279656.83,8660044.098,23637245.11,13693760.74,58938176.65,8520317.008,5655674.516,101657.0705,1417349.357,13264208.23,15592329.05,16628314.2,2999468.542,1995261.108,434168.9688,14403526.29,1737118.55,26580620.45,6570588.15,2319678.384
05/01/13,51766345.35,38379.90329,1195810.956,7332210.15,1497739.456,708247.6999,35810329.2,910665.4201,5954787.075,31554314.46,927679.1917,4443298.117,5938300.862,611869.3002,28508123.96,4954766.381,2135261.304,1070482.767,330572338.9,4991893.332,8511271.114,599933.2821,2908497.654,8716755.27,318052.0165,459437.777,14045198.15,4583332.008,3226351.836,102314029.9,11996588.38,623673.4285,74803222.86,47940884.55,1878702.861,68729141.55,105508464.4,27834299.47,23232865.6,9030553.843,24648536.69,14279632.09,61459776.84,8884848.695,5897645.861,106006.348,1477988.973,13831701.69,16259428.41,17339736.96,3127797.256,2080625.995,452744.3747,15019764.13,1811439.113,27717840.86,6851702.993,2418923.08
06/01/13,49946689.56,37030.79871,1153776.613,7074473.224,1445091.925,683351.8526,34551548.56,878654.321,5745468.399,30445138.4,895070.0359,4287110.286,5729561.699,590361.2816,27506025.53,4780599.762,2060204.033,1032853.875,318952282.1,4816421.651,8212088.629,578844.8304,2806260.098,8410349.744,306872.0656,443287.9289,13551490.78,4422221.8,3112941.284,98717555.81,11574892.36,601750.4791,72173790.21,46255698.78,1812663.96,66313220.93,101799701.7,26855886.87,22416199.52,8713117.881,23782107.89,13777684.06,59299384.05,8572534.462,5690335.776,102280.0841,1426035.698,13345499.01,15687887.91,16730222.18,3017851.028,2007489.227,436829.8085,14491799.47,1747764.622,26743521.94,6610856.532,2333894.721
07/01/13,50982288.99,37798.59884,1177699.127,7221156.029,1475054.599,697520.5352,35267943.68,896872.4238,5864595.491,31076390.81,913628.5037,4375999.641,5848358.979,602601.8888,28076338.1,4879721.175,2102920.5,1054269.167,325565469.2,4916285.798,8382358.86,590846.6545,2864445.364,8584730.74,313234.7804,452479.1033,13832468.68,4513912.57,3177485.306,100764375.1,11814887.29,614227.2311,73670248.48,47214768.86,1850247.908,67688165.6,103910426.5,27412719.4,22880979.14,8893776.5,24275208.39,14063351.88,60528903.15,8750278.212,5808319.742,104400.7691,1455603.258,13622205.86,16013162.08,17077108.2,3080423.44,2049112.701,445887.0796,14792273.83,1784002.941,27298024.68,6747926.664,2382285.917
08/01/13,52413978.33,38860.06257,1210771.383,7423941.198,1516477.218,717108.3712,36258341.32,922058.4778,6029285.602,31949080.88,939285.1035,4498886.866,6012593.135,619524.2106,28864780.41,5016753.954,2161974.907,1083875.25,334708028.7,5054345.389,8617753.034,607438.8647,2944884.982,8825807.94,322031.0684,465185.6631,14220913.35,4640672.679,3266715.741,103594049.5,12146674.04,631476.0168,75739063.19,48540658.35,1902206.74,69588990.9,106828448.6,28182525.91,23523524.91,9143532.352,24956907.02,14458280.22,62228681.39,8996004.331,5971429.512,107332.5611,1496479.643,14004745.9,16462845.17,17556669.13,3166928.175,2106656.073,458408.5216,15207671.82,1834101.476,28064610.33,6937422.562,2449185.49
